estimate,stderr,z,p,min95,max95,to_year
.0558784970362554,.0304928584154736,1.832510953053187,.06687533141162,-.0038864072437519,.1156434013162627,-4
.0363672508391132,.0316322017911916,1.149690782803496,.2502712519905498,-.0256307254233257,.0983652271015521,-3
.0612387034070202,.032742272290673,1.870325396581125,.0614386448804272,-.0029349710547027,.1254123778687431,-2
.074487985487295,.0354125731846649,2.103433294690696,.0354279105708301,.005080617445463,.143895353529127,-1
.0823345138901293,.0378679082471959,2.174255661354788,.0296859402650637,.0081147775557581,.1565542502245005,0
.2064055291144045,.0755261816792456,2.732900360182306,.0062779321075481,.0583769331332544,.3544341250955546,1
.3498340039268072,.1134765715845858,3.082874280053834,.0020501174500379,.1274240105319379,.5722439973216765,2
.5220685055203237,.1498137223475088,3.484784286377521,.0004925339393951,.228439005329323,.8156980057113243,3
.6651815630800009,.1860958954870106,3.57440211853802,.0003510290978651,.3004403102547301,1.029922815905272,4
.824206211133753,.2236504670879438,3.685242520909464,.0002284849676867,.3858593505158227,1.262553071751683,5
1.016039821745921,.2618104500209874,3.880822257722993,.000104103904058,.5029007689285621,1.52917887456328,6
1.205149335987616,.299734584973081,4.020721653111369,.0000580201281293,.6176803445193169,1.792618327455915,7
1.441560984915767,.3362739278991327,4.286865157587155,.000018121221411,.7824761972936481,2.100645772537886,8
1.682891065989454,.3706319816161584,4.540598624681895,5.60947312180e-06,.9564657305030724,2.409316401475836,9
1.894996592396604,.4001784961258639,4.735378364260209,2.18646806745e-06,1.110661152602509,2.679332032190699,10
