estimate,stderr,z,p,min95,max95,to_year
1.984870893035678,.1964252230356708,10.1049695266235,5.25118933075e-24,1.599884530230516,2.36985725584084,-4
2.294291824906664,.2137870737689605,10.73166765632474,7.22798146923e-27,1.875276859959294,2.713306789854034,-3
2.757900897336471,.2411655082891512,11.4357186353109,2.77231767917e-30,2.285225186776439,3.230576607896503,-2
3.116075305208837,.2399123484654862,12.98839065658647,1.42389768857e-38,2.645855742770061,3.586294867647613,-1
5.149400266583824,.2799120601173418,18.39649304294051,1.40146642477e-75,4.600782709915424,5.698017823252225,0
9.610326696065473,.5356850176338751,17.94025664282037,5.71903873060e-72,8.560403354445373,10.66025003768557,1
13.69892161370954,.7997693277271917,17.12859088087254,9.08280506452e-66,12.13140253542443,15.26644069199465,2
17.75938335868536,1.052743175621005,16.86962572634036,7.52717845177e-64,15.69604464949786,19.82272206787285,3
21.82628759424162,1.311455631833164,16.64279527606484,3.41306731084e-62,19.2558817885264,24.39669339995684,4
26.07490485743934,1.594783676560972,16.35012023302612,4.34122587486e-60,22.94918628824746,29.20062342663122,5
30.29464018484728,1.876121319436576,16.14748463811774,1.18287812729e-58,26.61750996812383,33.97177040157074,6
34.16919258673361,2.131458878090825,16.03089458490486,7.77552990832e-58,29.99160995114744,38.34677522231978,7
38.11536186535245,2.407234334578639,15.83367323980286,1.82263106709e-56,33.39726926723007,42.83345446347482,8
42.21631972465163,2.684917200022447,15.72350898727852,1.04379135349e-55,36.95397871113551,47.47866073816775,9
46.17345299420972,2.960659483378894,15.59566483529326,7.79081096128e-55,40.37066703630013,51.97623895211931,10
