estimate,stderr,z,p,min95,max95,to_year
.6699391712242131,.1308835216989878,5.118590656239915,3.07827263183e-07,.4134121825244304,.9264661599239958,-4
1.011810096224159,.1468666187487709,6.889312934717692,5.60624918530e-12,.723956812945393,1.299663379502925,-3
1.361163009951152,.1635193636844186,8.324170173375339,8.49215351192e-17,1.040670946354785,1.681655073547519,-2
2.001703689816575,.1827484782046687,10.95332617530621,6.40515298827e-28,1.643523254305921,2.359884125327229,-1
3.811345693200925,.2133597117794157,17.86347413677296,2.27056445225e-71,3.393168342361424,4.229523044040426,0
7.079916054555968,.4163567187817547,17.00444771318103,7.61191469270e-65,6.263871881022457,7.895960228089479,1
10.15782994405749,.6234332782482749,16.29337139749581,1.09994811024e-59,8.935923171927133,11.37973671618785,2
13.17197852795756,.8242231501827668,15.98108294463307,1.73112122225e-57,11.55653083837519,14.78742621753993,3
16.07859702305287,1.023820900433765,15.70450165281917,1.40880375897e-55,14.07194493158332,18.08524911452242,4
19.132252431927,1.244464289939746,15.37388624695156,2.45020570526e-53,16.69314724359889,21.57135762025511,5
21.99796453292852,1.468482695187201,14.98006384755132,9.91217716044e-51,19.1197913384413,24.87613772741575,6
24.9978568886827,1.694856238005219,14.74924912693729,3.11106759049e-49,21.67599970321942,28.31971407414598,7
27.87208690178815,1.923184012662151,14.49267814118653,1.34783409738e-47,24.10271550132711,31.64145830224919,8
30.5165285685629,2.134255988577592,14.29843876830404,2.23773478920e-46,26.33346369716189,34.69959343996391,9
33.43625523176434,2.366113640142308,14.13129727351276,2.43614783863e-45,28.79875771375645,38.07375274977223,10
