estimate,stderr,z,p,min95,max95,to_year
3.175674140313843,.5656084296393044,5.61461600269821,1.96999233101e-08,2.06710198886855,4.284246291759136,-4
3.621793638189967,.6010469784825784,6.0258079116106,1.68266936010e-09,2.443763207347493,4.799824069032441,-3
4.059698394392857,.6581189924209084,6.168638864924939,6.88803426644e-10,2.769808871706088,5.349587917079626,-2
4.087780063363679,.6128442638805811,6.670177570855463,2.55494101507e-11,2.886627378025779,5.288932748701579,-1
5.537042857066091,.6370364113517824,8.691878138200238,3.56496357363e-18,4.288474433975955,6.785611280156226,0
11.67227114848991,1.311345634893703,8.900987533645973,5.53519762146e-19,9.102080932814442,14.24246136416538,1
16.98555673299215,1.960516074237043,8.663819162820317,4.56216873753e-18,13.14301583637569,20.82809762960861,2
22.63169761766076,2.571088168456853,8.80238099000865,1.33943567930e-18,17.59245740640828,27.67093782891324,3
28.48202762709731,3.253068786737273,8.755433559603237,2.03320374278e-18,22.10612996586084,34.85792528833377,4
34.4099413035299,3.989843973051226,8.624382691640685,6.44392955071e-18,26.5899908124153,42.22989179464449,5
41.11511081121561,4.826797893497154,8.518092474227572,1.62202669573e-17,31.65476077930739,50.57546084312383,6
46.98048059163263,5.471229992202664,8.586822461966864,8.94076317698e-18,36.25706685578005,57.70389432748521,7
51.94878188008398,5.982370705707151,8.683644734774646,3.83284669067e-18,40.2235507547305,63.67401300543746,8
57.33367675653242,6.456876428224475,8.879475609276628,6.71762926330e-19,44.67843150458683,69.98892200847801,9
62.38373462661244,6.864043271069576,9.088482132615054,1.00431281543e-19,48.93045702699157,75.83701222623331,10
