estimate,stderr,z,p,min95,max95,to_year
1.581649036976599,.131512349692522,12.02661986250356,2.57488125712e-33,1.323889568057019,1.839408505896179,-4
1.915073391807172,.1418983949111605,13.49608917709153,1.64900027454e-41,1.636957648317256,2.193189135297088,-3
2.333463517771782,.1584780623304238,14.72420525250084,4.50737438078e-49,2.022852223264457,2.644074812279106,-2
2.766207959246159,.1589278356879109,17.40543402779489,7.50351507254e-68,2.454715125156954,3.077700793335364,-1
4.656260235320531,.1823988018139776,25.52791021110596,9.6606518694e-144,4.298765152941876,5.013755317699186,0
8.811816851810498,.3575462014475356,24.64525372143688,4.1376235691e-134,8.111039174164226,9.51259452945677,1
12.61149157238967,.5355362963721343,23.54927510576459,1.2770092282e-122,11.56185971908632,13.66112342569302,2
16.40628926246988,.7060828077776442,23.23564471723614,1.9871685354e-119,15.02239238912278,17.79018613581698,3
20.19121284818208,.8796172552147312,22.95454384106304,1.3272818397e-116,18.46719470778123,21.91523098858293,4
24.1245284354449,1.070610553347568,22.53343044304273,1.9523532601e-112,22.02617030941517,26.22288656147463,5
28.05813742023878,1.266047099548466,22.16200126381213,7.9919025542e-109,25.57673070239239,30.53954413808517,6
31.76757237330624,1.44434119992887,21.99450682073648,3.2504685309e-107,28.93671564005829,34.59842910655419,7
35.36721049047277,1.625708449254421,21.75495274487428,6.2010313510e-105,32.18088048057164,38.5535405003739,8
38.99456808827721,1.799711795117063,21.66711814306957,4.1918380976e-104,35.46719778729585,42.52193838925858,9
42.61305936479989,1.97332154705958,21.59458473876041,2.0195053066e-103,38.74542020264625,46.48069852695352,10
