estimate,stderr,z,p,min95,max95,to_year
.1554243547474415,.0438352074118867,3.545651176850491,.0003916442663349,.0695089269653003,.2413397825295827,-4
.1823208234126927,.0454195047192042,4.014152609982204,.0000596597387286,.0933002299674054,.27134141685798,-3
.2166351872023836,.0471502811383203,4.59456830314249,4.33646072500e-06,.1242223343103376,.3090480400944295,-2
.2330316548874762,.0497592174904298,4.683185681774338,2.82450433522e-06,.1355053807073383,.3305579290676142,-1
.2585746689333147,.0511014096466081,5.06003006025643,4.19190386079e-07,.1584177464667352,.3587315913998942,0
.5407227619226359,.1020263149486534,5.299836245136996,1.15906590655e-07,.3407548591479347,.7406906646973371,1
.8407149148332221,.1517164010289666,5.541358146722107,3.00134653038e-08,.5433562329524122,1.138073596714032,2
1.138026914077463,.1998719488904606,5.693780044648268,1.24257141768e-08,.7462850927323299,1.529768735422596,3
1.447903310057525,.2482161292791806,5.833236197269834,5.43625270617e-09,.9614086362883931,1.934397983826657,4
1.773814080043732,.2963806009520647,5.9849196416557,2.16496720827e-09,1.192918776461348,2.354709383626116,5
2.120828555179858,.3451163070403673,6.145257444852614,7.98339227169e-10,1.444413022903271,2.797244087456445,6
2.47561845562878,.3929312396039248,6.300385935524512,2.96905437758e-10,1.705487377604409,3.245749533653151,7
2.831494573327229,.4381136401146707,6.462922662225538,1.02699787743e-10,1.972807617566732,3.690181529087726,8
3.202319819623308,.4822203010591676,6.640781843048928,3.12023574093e-11,2.257185396933278,4.147454242313339,9
3.617179937458346,.5255286265531655,6.882936066076339,5.86313463444e-12,2.587162756569342,4.64719711834735,10
