estimate,stderr,z,p,min95,max95,to_year
7.888383052205148,3.093445592441382,2.55003128921351,.0107713251508595,1.82534110288587,13.95142500152443,-4
8.064015043128128,3.405436255629083,2.367982965412597,.0178853593631704,1.389482630448191,14.73854745580807,-3
12.94150218330456,3.958298389484208,3.269460993058415,.001077525927701,5.183379899852616,20.6996244667565,-2
18.46639233367449,4.602749184951539,4.012035327505885,.000060197488768,9.44516970129839,27.48761496605059,-1
18.00483275443849,5.322943191438918,3.382495755993848,.0007183038775194,7.572055807465517,28.43760970141146,0
36.63491521312788,10.78469323930855,3.396936231769601,.00068144845014,15.49730487977051,57.77252554648526,1
64.2018085705205,16.88927411242621,3.801336170113096,.0001439178838847,31.09943958514045,97.30417755590054,2
106.7064640384113,23.68647084712831,4.504954103424323,6.63872893836e-06,60.28183425718187,153.1310938196407,3
162.3770873751353,31.24301358651205,5.197228715645895,2.02281426262e-07,101.1419059770761,223.6122687731945,4
231.9470726836007,39.90283587579363,5.812796699602681,6.14376580556e-09,153.7389514860324,310.155193881169,5
323.8074007504296,49.88490734278891,6.491089549898451,8.52178039428e-11,226.0347789864457,421.5800225144135,6
433.6566475025152,60.87750981474694,7.123429470458833,1.05274133906e-12,314.3389207971276,552.9743742079029,7
563.8856149067257,73.02456103191176,7.72186243831452,1.14642083649e-14,420.7601052973316,707.0111245161197,8
696.5247781562609,84.27361398095915,8.265039853561214,1.39648082082e-16,531.3515299065499,861.698026405972,9
841.6302900118999,97.3198384492395,8.648085564289968,5.23705588898e-18,650.8869116701342,1032.373668353666,10
