estimate,stderr,z,p,min95,max95,to_year
.0429932220090091,.0223461345142521,1.923966849013131,.0543587389359107,-.0008043968326124,.0867908408506306,-4
.0534033237189544,.0234000365598678,2.282189755658057,.0224781396554548,.0075400948246929,.0992665526132159,-3
.0377820368847261,.0239863263027423,1.575148958113129,.1152220656184836,-.0092302987900746,.0847943725595268,-2
.0376935466846213,.0259630413078113,1.451815534156269,.1465529034006487,-.0131930792078145,.0885801725770571,-1
.0926236638387425,.0283591481664365,3.266094711136779,.001090417725746,.0370407548002919,.1482065728771931,0
.2197495236291587,.0494034884851066,4.448056814761281,8.66506131299e-06,.1229204654877106,.3165785817706068,1
.3481732969848063,.069310490332287,5.023385281442979,5.07685545101e-07,.2123272321827123,.4840193617869004,2
.4547491241581194,.0894611161870173,5.083204229281828,3.71120287425e-07,.2794085584148123,.6300896899014266,3
.5765945161956331,.1104132523173723,5.222149552648511,1.76858042188e-07,.3601885182376497,.7930005141536165,4
.6284855828855657,.1320306971046064,4.760147425319007,1.93451599890e-06,.3697101717068204,.8872609940643109,5
.7241959903998482,.1545480950278852,4.685893994805832,2.78740515763e-06,.4212872902659195,1.027104690533777,6
.8008958337125964,.1776168771253458,4.509120116707136,6.50970461404e-06,.4527731515004425,1.14901851592475,7
.9285452636796169,.2000664040145977,4.641185351698859,3.46416210745e-06,.5364223172945657,1.320668210064668,8
1.023855222905851,.2220047722110943,4.61186132491023,3.99079212923e-06,.5887338649760877,1.458976580835615,9
1.121774422726386,.2414280954293565,4.646412095209626,3.37757960453e-06,.648584050828748,1.594964794624024,10
1.227231337141193,.2622663571740251,4.679331921809824,2.87811186013e-06,.7131987227235858,1.7412639515588,11
1.300426155058798,.279597057998303,4.65107238383993,3.30213391633e-06,.7524259911987677,1.848426318918829,12
1.404009398153074,.2989277443167161,4.696818628736969,2.64244892013e-06,.8181217853125126,1.989897010993635,13
1.511134592928561,.317084887988778,4.765709909776721,1.88189857753e-06,.8896596324286389,2.132609553428483,14
1.61633629570095,.3355935604690187,4.816350747141845,1.46207432559e-06,.9585850037381087,2.274087587663791,15
