estimate,stderr,z,p,min95,max95,to_year
.0807715016126373,.0564735393725501,1.430253929717352,.152644152164845,-.0299146016370655,.1914576048623401,-4
.1367473035532154,.0655173022872359,2.087193745458238,.0368706246331228,.0083357507060094,.2651588564004214,-3
.2412540901156202,.071830418270088,3.358661914072195,.000783208236998,.1004690573117998,.3820391229194406,-2
.111611665446619,.0758856366845921,1.470787758038021,.1413485241567925,-.037121449399073,.260344780292311,-1
.2309072172534157,.0810321553277741,2.849575163333601,.00437776605291,.072087111221323,.3897273232855084,0
.7077240617926859,.1623229106212658,4.35997641419798,.0000130076463466,.3895770031092907,1.025871120476081,1
1.276185924301221,.2464230391339656,5.178841754351688,2.23267755289e-07,.7932056426377443,1.759166205964698,2
1.77466928746168,.3499062021951357,5.071842900549624,3.93981577230e-07,1.088865733192024,2.460472841731336,3
2.32840839730029,.446530994000838,5.214438479260233,1.84374878686e-07,1.453223731077777,3.203593063522803,4
2.801723408866379,.542519607705645,5.164280459309244,2.41365575195e-07,1.738404516856516,3.865042300876242,5
3.323389978536113,.6453840862180231,5.149476179388484,2.61214944465e-07,2.058460413353495,4.588319543718731,6
3.836514204699478,.7491931000035071,5.12086163724882,3.04142749242e-07,2.36812271122669,5.304905698172266,7
4.403547780925854,.851329818575529,5.172552029592954,2.30918170061e-07,2.734971997552799,6.072123564298909,8
4.949263453062094,.9547971099925944,5.183576072093977,2.17671385874e-07,3.07789550493368,6.820631401190507,9
5.514784677084751,1.060809238308319,5.198658229899298,2.00732211881e-07,3.435636775533077,7.593932578636424,10
6.019603431072054,1.158961829641218,5.193961765708498,2.05865437466e-07,3.748079985518621,8.291126876625487,11
6.624201586474398,1.256621932254869,5.27143559764869,1.35360785833e-07,4.161267857071723,9.087135315877074,12
7.232795443072837,1.353213811227551,5.344902175149762,9.04658983567e-08,4.580545109684655,9.88504577646102,13
7.776871988271068,1.443631135618741,5.387021515671242,7.16348616993e-08,4.947406955497677,10.60633702104446,14
8.250885044379086,1.539421956492766,5.359729351383885,8.33467211431e-08,5.233673452643078,11.26809663611509,15
