estimate,stderr,z,p,min95,max95,to_year
.02151149329434,.0288047279813583,.7468042506168321,.4551817294372222,-.0349447361335954,.0779677227222754,-4
.0841336300329013,.0362830269977861,2.318815076758475,.020405065352721,.013020203867146,.1552470561986565,-3
.0631338483170926,.0365730028941875,1.726241853854619,.0843039112338967,-.0085479201619941,.1348156167961793,-2
.0359516656912391,.036387435292802,.9880241737826148,.3231408092658655,-.0353663969724346,.1072697283549128,-1
.1213297485401715,.0463714979110981,2.616472488613173,.0088843523506049,.0304432827252448,.2122162143550982,0
.3697347236698174,.0808625980321928,4.57238244463305,4.82209767956e-06,.2112469438303801,.5282225035092547,1
.5479675043871237,.1101058661160253,4.976733063519948,6.46664025827e-07,.3321639723131251,.7637710364611223,2
.6950419106735298,.1411777186351653,4.923170011478036,8.51534117622e-07,.4183386667290767,.9717451546179829,3
.8561511451464473,.1750661187416001,4.890444543470674,1.00608501563e-06,.5130278574996987,1.199274432793196,4
.9867131361595369,.2062351900428376,4.784407238912935,1.71492672782e-06,.5824995913308018,1.390926680988272,5
1.059726916493,.2392821793926892,4.428774926668767,9.47698581411e-06,.590742462741077,1.528711370244923,6
1.161204855220476,.2702444709378121,4.296868132734856,.0000173228174034,.6315354251612829,1.690874285279669,7
1.280035170713447,.3051369601933996,4.194952882476592,.0000272928316585,.6819777183823517,1.878092623044542,8
1.325971743342842,.3363508801430148,3.942227660528329,.0000807282929299,.6667361320941846,1.985207354591499,9
1.447934064759748,.3673939643973558,3.941093771463626,.0000811109077372,.72785512640354,2.168013003115956,10
1.626687672918334,.4025072637274621,4.04138712393465,.0000531359562559,.8377879324967431,2.415587413339925,11
1.673280700381651,.4313185093148351,3.879454890632255,.0001046908129992,.8279119562590707,2.518649444504232,12
1.77866290848452,.4627002945378586,3.844092881464522,.0001209991749881,.8717869955542423,2.685538821414798,13
1.902180899619368,.4918135536406355,3.867687023951515,.0001098725555837,.9382440473750647,2.866117751863671,14
1.985945131089851,.5233196601019793,3.794898763602442,.0001477037122028,.9602574448882293,3.011632817291473,15
