estimate,stderr,z,p,min95,max95,to_year
.0002000455650799,.0013498605139006,.1481972122451639,.8821871318321109,-.0024456324263181,.0028457235564779,-4
-.001918682584763,.0017881024993541,-1.073027181303147,.2832589207297848,-.005423299084163,.001585933914637,-3
.00013197741361,.0027439982163309,.048096756340634,.9616391312809531,-.0052461602640407,.0055101150912607,-2
-.0041625102661066,.0023765901095744,-1.751463262149184,.0798661441519515,-.0088205412868864,.0004955207546732,-1
-.0016967599681425,.0035764763736497,-.4744222499675032,.6351988296293831,-.0087065248520543,.0053130049157693,0
-.0035760026860154,.0048756498996675,-.7334412354462313,.4632893568487658,-.01313210089059,.0059800955185592,1
-.0008839398594226,.0066963879214305,-.1320024869816334,.894982324637229,-.0140086190119355,.0122407392930903,2
.00170812861417,.0081952064589294,.2084302113351696,.8348930690520269,-.0143541808912016,.0177704381195416,3
.0125552732322256,.0108452414006492,1.157675773955019,.2469963738913066,-.0087010093166896,.0338115557811408,4
.0187104065919366,.0132732959188928,1.409627774914959,.158649621261061,-.0073047753652357,.0447255885491089,5
.0199977017584892,.0145032043360348,1.378847135787971,.1679418902063397,-.0084280564005641,.0484234599175425,6
.0321572308261099,.0178922112036894,1.797275387598767,.0722919115366124,-.0029108587369054,.0672253203891252,7
.0534870133082685,.0215726602673546,2.479388848913044,.0131607741963718,.0112053761335353,.0957686504830017,8
.0588819708084929,.0248410494159899,2.370349570279877,.0177712739982664,.0101944086149729,.1075695330020129,9
.0754856939116682,.0286268144705458,2.63688766311514,.0083670535116395,.0193781685572884,.131593219266048,10
.0908374835654958,.0323140196830887,2.811085852405884,.0049374609311227,.0275031687909236,.154171798340068,11
.0892982858919162,.0366962848239141,2.433442140543957,.0149560255244832,.0173748892706209,.1612216825132115,12
.12147072198159,.0439276473249826,2.765245338156478,.0056879998309857,.0353741152990469,.2075673286641331,13
.1393667702171402,.0528285819180533,2.638094099011088,.0083373443436068,.0358246523034319,.2429088881308485,14
.144631965546573,.0587423813606054,2.462139977926876,.0138110753079348,.0294990137136696,.2597649173794765,15
